ID,Movie Name,Year,Timing(min),Rating(10),Genre,Language,Votes
tt2761622,Spy in Goa,1966,-,-,"Action, Thriller            ",hindi,-
tt8622232,Time to Dance,2021,113 min,1.3,"Musical, Romance            ",hindi,406
tt0109922,Gopi Kishan,1994,161 min,5.5,"Action, Comedy, Drama            ",hindi,805
tt0187351,Nigahen: Nagina Part II,1989,140 min,5.2,"Drama, Family, Fantasy            ",hindi,286
tt5026204,Dobara Phir Se,2016,127 min,6.6,Drama            ,urdu,427
tt2373666,Pagaivan,1997,142 min,5.2,"Action, Comedy            ",tamil,82
tt1245732,Red Alert: The War Within,2009,120 min,6.4,"Action, Drama, Thriller            ",hindi,337
tt0273409,Adhikar,1938,132 min,-,-,hindi,-
tt4601930,Hasta Melapa,1969,-,-,Drama            ,gujarati,-
tt0242476,Gangavatarana,1984,-,-,-,telugu,-
tt0449814,Amnol Sahara,1952,-,-,Drama            ,hindi,-
tt0442625,Waqt Ka Shahenshah,1987,-,4.9,Action            ,hindi,11
tt3666258,Coffee Bloom,2015,90 min,5.9,Drama            ,hindi,101
tt0266712,Laila Majnu,II 1976,140 min,7.2,"Drama, Musical, Romance            ",oriya,259
tt3209556,Vidiyum Munn,2013,129 min,7.4,Thriller            ,tamil,434
tt6120732,Olappeeppi,2016,121 min,7.6,Drama            ,malayalam,120
tt3681344,Duniya Ke Rangeen Raatein,1997,-,-,Drama            ,hindi,-
tt8243058,Timi Sanga,2018,-,6.1,Romance            ,nepali,11
tt0267796,Oho Naa Pellanta,1996,-,6.2,Comedy            ,telugu,19
tt14189052,Ivanu Thumba Orata,2009,-,-,Drama            ,kannada,-
tt0246433,Apnapan,1977,133 min,6.5,"Drama, Romance            ",hindi,73
tt1606327,Saath Laakh,1957,125 min,-,"Musical, Romance            ",urdu,-
tt1502852,Insaan,1966,-,-,-,urdu,-
tt7419244,Takrav,2018,-,-,"Action, Romance            ",bhojpuri,-
tt2980794,Highway,I 2014,133 min,7.6,"Crime, Drama, Romance            ",hindi,26801
tt1524568,Pratipaksha,1988,108 min,6.9,"Action, Drama            ",bengali,8
tt3521136,Har Raat Naya Khiladi,1990,-,-,Thriller            ,hindi,-
tt13057434,Naanaage Naanillai,2016,-,-,Drama            ,tamil,-
tt0243125,Atma Tarang,1937,-,-,-,hindi,-
tt2942618,Dehorokkhi: The Bodyguard,2013,167 min,6.8,Action            ,bengali,402
tt2777694,Beru,2005,104 min,8.3,Drama            ,kannada,19
tt2613436,Paigham,1988,168 min,-,Fantasy            ,hindi,-
-,Akela,,-,-,Drama            ,hindi,-
tt13088566,The Rubiks game,2014,30 min,-,"Short, Thriller            ",malayalam,-
tt9053354,Anthervedam,2018,-,-,Thriller            ,telugu,-
tt13605848,Enakkul Oru Kadhal,2009,97 min,-,Drama            ,tamil,-
tt1283527,Samsara Nauka,1989,-,-,-,kannada,-
tt0248294,Patthe Bapurao,1950,143 min,-,-,marathi,-
tt0352979,Vida Parayaanmathram,1988,-,-,-,malayalam,-
tt5278634,White,I 2016,149 min,3,Romance            ,malayalam,471
tt0283028,Sayahnam,2000,-,7,-,malayalam,10
tt14045622,Preetam,2021,-,9,Romance            ,marathi,15
tt3952870,Britto,2014,124 min,7.5,Drama            ,bengali,12
tt0252229,Amrutha Geetham,1982,-,-,-,malayalam,-
tt4960730,Pyar Ka Jigar,2003,-,-,Romance            ,hindi,-
tt0250747,Stalin Sivadas,1999,118 min,2.7,"Action, Thriller            ",malayalam,47
tt0352287,Dheeran,1987,-,-,-,malayalam,-
tt0262446,Gopichand Jasoos,1982,150 min,5.9,"Comedy, Thriller            ",hindi,123
-,Vikrant Rona,2021,-,-,"Action, Adventure, Fantasy            ",kannada,-
tt0995840,Joy: The Real Love Story,2007,127 min,2.1,"Drama, Romance, Thriller            ",hindi,1601
tt0104098,Dharavi,1992,120 min,7.1,"Crime, Drama            ",hindi,282
tt0280817,Kamadhenu,1976,-,-,-,malayalam,-
tt1593777,Sansarer Itikatha,1983,-,-,Drama            ,bengali,-
tt10160924,Shani Arshad: Adha Adha,2019 Video,5 min,-,"Short, Music            ",urdu,-
tt5771640,Noces,2016,98 min,7.1,Drama            ,oriya,1360
-,Tu Heer Main Tera Hero,2021 TV Movie,-,-,Comedy            ,urdu,-
tt1441323,Madi Veetu Ezhai,1981,-,-,-,tamil,-
tt4007298,Khoobsurat Kali,2003,-,-,Thriller            ,hindi,-
tt0246877,Puthayal,1997,144 min,5.9,-,tamil,51
tt0320701,Urimai,1985,-,-,-,tamil,-
tt0266290,Babai Abbai,1984,117 min,6.3,"Comedy, Romance            ",telugu,102
