,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt4271912,Mahan,1996,132 min,6,8,"Drama, Family            ",bengali
tt1537032,Kanthaswamy,2009,190 min,5,131,Action Crime            ,tamil
tt7757972,Saakshyam,2018,166 min,4.7,435,Action            ,telugu
tt2522328,Shutter,2012,133 min,7.7,142,Thriller            ,malayalam
tt2375283,Maithaanam,2011,125 min,5.9,7,"Drama, Family, Mystery            ",tamil
tt2317103,Sons of Ram,2012,85 min,6.6,76,"Animation, Drama, Musical            ",tamil
tt0376061,Pattalam,2003,159 min,5.1,300,"Action, Comedy, Drama            ",malayalam
tt0225515,Dillagi,1999,188 min,5.3,97,Drama Musical Romance            ,hindi
tt1530891,Kaana Kanmani,2009,132 min,4.4,106,"Drama, Horror            ",malayalam
tt0186871,Bhagwaan Dada,1986,147 min,4.3,167,"Drama, Thriller            ",hindi
tt0259494,Payal Ki Jhankar,1968,132 min,4.4,12,"Action, Adventure, Comedy            ",hindi
tt0299078,Palkon Ki Chhaon Mein,1977,127 min,7.5,65,"Drama, Romance            ",hindi
tt3454974,Mounamelanoyi,2002,154 min,6.7,16,Romance            ,telugu
tt6917966,Mohanlal,2018,150 min,4.5,507,Comedy            ,malayalam
tt0038475,Dharti Ke Lal,1950,125 min,6.4,16,"Drama, History            ",hindi
tt1092005,Golmaal Returns,2008,135 min,5.1,87,Comedy Crime Mystery            ,hindi
tt4003012,The Journey Within,2015,78 min,7,345,"Documentary, Music            ",oriya
tt7971756,Inspector Gullu,2018,124 min,6.8,13,Action            ,hindi
tt1857670,Deiva Thirumagal,2011,166 min,8.1,20,Drama            ,tamil
tt4384242,Pataas,2015,127 min,6.7,10,"Action, Comedy            ",telugu
tt0091320,Kala Dhanda Goray Log,1986,158 min,5.7,342,"Drama, Family            ",hindi
tt1351669,Talentime,2009,120 min,6.8,183,Drama            ,tamil
tt4899880,Shah,2015,109 min,8.5,45,Biography Drama Sport            ,urdu
tt2334779,Qissa: The Tale of a Lonely Ghost,2013,109 min,6.7,67,"Drama, Fantasy, Horror            ",punjabi
tt8364128,Amma I Love You,2018,147 min,7.4,55,Drama            ,kannada
tt3415566,123,2002,127 min,5.7,59,Comedy            ,telugu
